cluster,frequency_mean,frequency_std,amplitude_mean,amplitude_std,component_count
0,0.29863603732950467,0.143460111951722,10.728160246228319,2.912184617018095,3
1,0.03445800430725054,,804.8525781050878,,1
2,0.1033740129217516,,61.31973078014676,,1
3,1.2267049533381191,0.7874992228414874,30.542696313912877,5.470729170740905,5
4,1.60229720028715,0.9979279715846447,4.817102048490577,1.6305825683588626,10
