datetime;P_kW;DRFI
2014-05-03 04:00:00;864,8422055079011;0,2670282387532197
2014-05-03 04:30:00;853,6863273349984;0,2686285464738392
2014-05-03 05:00:00;852,489825276879;0,2663266171667096
2014-05-03 05:30:00;860,9315135478104;0,2639648492122733
2014-05-03 06:00:00;877,9600086534476;0,26217746570547135
2014-05-03 06:30:00;901,9125108153867;0,2610566214408142
2014-05-03 07:00:00;930,690127031226;0,25819123199073263
2014-05-03 07:30:00;961,9761170115318;0,26202597433194885
2014-05-03 08:00:00;993,4441500790156;0,2624501784367449
2014-05-03 08:30:00;1023,0086496467794;0,2695411379788753
2014-05-03 09:00:00;1048,991034582919;0,270633064700298
2014-05-03 09:30:00;1070,2426766645133;0,27179824198738284
2014-05-03 10:00:00;1086,1471034770161;0,272864960723923
2014-05-03 10:30:00;1096,593381060534;0,27369498769315875
2014-05-03 11:00:00;1101,927568434983;0,2741903428525331
2014-05-03 11:30:00;1102,76442330584;0,2739397145591028
2014-05-03 12:00:00;1099,8579952865298;0,27370266149199385
2014-05-03 12:30:00;1094,0093654390685;0,27379236232332727
2014-05-03 13:00:00;1085,9548621331576;0,27415104174674165
2014-05-03 13:30:00;1076,316191046604;0,27471003215546097
2014-05-03 14:00:00;1065,642764062083;0,2753971971238725
2014-05-03 14:30:00;1054,438449603495;0,27615411664638334
2014-05-03 15:00:00;1043,1559197106465;0,2769352655395855
2014-05-03 15:30:00;1032,2911526806336;0,27770572748342637
2014-05-03 16:00:00;1022,4198154499823;0,2846805969549453
2014-05-03 16:30:00;1014,2081626521434;0,2853241770977087
2014-05-03 17:00:00;1008,3698684365631;0,2858076117939012
2014-05-03 17:30:00;1005,5841641714288;0,2851354400578821
2014-05-03 18:00:00;1006,4506848067961;0,2897283417056079
2014-05-03 18:30:00;1011,3476853168648;0,288323248659526
2014-05-03 19:00:00;1020,3266639877797;0,28725333316681834
2014-05-03 19:30:00;1033,0039126894565;0,2865880665679913
2014-05-03 20:00:00;1048,552474298301;0,2926168396351985
2014-05-03 20:30:00;1065,6525963582912;0,2928520510436124
2014-05-03 21:00:00;1082,62772299867;0,28728945950672446
2014-05-03 21:30:00;1097,5309133602161;0,288379964404874
2014-05-03 22:00:00;1108,286453185986;0,28978687488929444
2014-05-03 22:30:00;1112,8489216653845;0,2898009341899277
2014-05-03 23:00:00;1109,4852747009531;0,28277751135360724
2014-05-03 23:30:00;1097,1743047987022;0,28334931940379965
2014-05-04 00:00:00;1075,6706364038344;0,28383641940174736
2014-05-04 00:30:00;1045,6221343452212;0,282302525555614
2014-05-04 01:00:00;1008,5596155163281;0,28140820908194936
2014-05-04 01:30:00;966,7624611979945;0,28743219691599314
2014-05-04 02:00:00;923,0674547631115;0,288201015158295
2014-05-04 02:30:00;880,5862450635022;0,2943958444350419
2014-05-04 03:00:00;842,4309511071059;0,2965073594322021
2014-05-04 03:30:00;811,4111467205234;0,2988593566855206
2014-05-04 04:00:00;789,7789487297728;0,3012336580110945
2014-05-04 04:30:00;778,9789612177943;0,30341627781549485
2014-05-04 05:00:00;779,5685591481727;0,3017664403722091
2014-05-04 05:30:00;791,1714404805479;0,3006461542707309
2014-05-04 06:00:00;812,5510184312208;0,3001477249489734
2014-05-04 06:30:00;841,7950715824861;0,3003111291093986
2014-05-04 07:00:00;876,5006281658024;0,3060590581157169
2014-05-04 07:30:00;914,0065974806623;0,30837811092558365
2014-05-04 08:00:00;951,6678550969311;0,3097732819127714
2014-05-04 08:30:00;987,0757640448767;0,3115129402321877
2014-05-04 09:00:00;1018,2585319184411;0,31341077140110446
2014-05-04 09:30:00;1043,8051096807553;0,3152842622717312
2014-05-04 10:00:00;1062,9122142708884;0,3169715574845642
2014-05-04 10:30:00;1075,334011830337;0,31833155378366235
2014-05-04 11:00:00;1081,3203834677017;0,31927203767428886
2014-05-04 11:30:00;1081,517448643128;0,31848171330629527
2014-05-04 12:00:00;1076,8433970811152;0,3180117419114339
2014-05-04 12:30:00;1068,331988360485;0,31787503226450026
2014-05-04 13:00:00;1057,0412839744022;0,3179704384292788
2014-05-04 13:30:00;1043,9781307268472;0,3181957171726516
2014-05-04 14:00:00;1030,0580298398497;0,31846204851684173
2014-05-04 14:30:00;1016,1452577798558;0,3186839622830706
2014-05-04 15:00:00;1003,0607274848027;0,3187984565277109
2014-05-04 15:30:00;991,6372823753292;0,31876058974545896
2014-05-04 16:00:00;982,6569965698607;0,3248084472865574
2014-05-04 16:30:00;976,875955309569;0,3244471546473322
2014-05-04 17:00:00;974,9873260378075;0,32393798046112876
2014-05-04 17:30:00;977,5434173677761;0,3240461178872629
2014-05-04 18:00:00;984,866747237653;0,32437621886267376
