timestamp,feeder_id,p_kw
2014-01-01T00:30:00,P1,2724
2014-01-01T01:00:00,P1,2706
2014-01-01T01:30:00,P1,2680
2014-01-01T02:00:00,P1,2664
2014-01-01T02:30:00,P1,2615
2014-01-01T03:00:00,P1,2585
2014-01-01T03:30:00,P1,2558
2014-01-01T04:00:00,P1,2537
2014-01-01T04:30:00,P1,2518
2014-01-01T05:00:00,P1,2462
2014-01-01T05:30:00,P1,2443
2014-01-01T06:00:00,P1,2418
2014-01-01T06:30:00,P1,2389
2014-01-01T07:00:00,P1,2384
2014-01-01T07:30:00,P1,2360
2014-01-01T08:00:00,P1,2357
2014-01-01T08:30:00,P1,2358
2014-01-01T09:00:00,P1,2323
2014-01-01T09:30:00,P1,2332
2014-01-01T10:00:00,P1,2311
2014-01-01T10:30:00,P1,2348
2014-01-01T11:00:00,P1,2441
2014-01-01T11:30:00,P1,2501
2014-01-01T12:00:00,P1,2544
2014-01-01T12:30:00,P1,2624
2014-01-01T13:00:00,P1,2704
2014-01-01T13:30:00,P1,2790
2014-01-01T14:00:00,P1,2796
2014-01-01T14:30:00,P1,2822
2014-01-01T15:00:00,P1,2737
2014-01-01T15:30:00,P1,2707
2014-01-01T16:00:00,P1,2682
2014-01-01T16:30:00,P1,2702
2014-01-01T17:00:00,P1,2696
2014-01-01T17:30:00,P1,2735
2014-01-01T18:00:00,P1,2816
2014-01-01T18:30:00,P1,2872
2014-01-01T19:00:00,P1,2903
2014-01-01T19:30:00,P1,2947
2014-01-01T20:00:00,P1,2989
2014-01-01T20:30:00,P1,2966
2014-01-01T21:00:00,P1,2944
2014-01-01T21:30:00,P1,2980
2014-01-01T22:00:00,P1,2916
2014-01-01T22:30:00,P1,2903
2014-01-01T23:00:00,P1,2848
2014-01-01T23:30:00,P1,2815
2014-01-02T00:00:00,P1,2777
2014-01-02T00:30:00,P1,2753
2014-01-02T01:00:00,P1,2704
2014-01-02T01:30:00,P1,2621
2014-01-02T02:00:00,P1,2580
2014-01-02T02:30:00,P1,2532
2014-01-02T03:00:00,P1,2471
2014-01-02T03:30:00,P1,2389
2014-01-02T04:00:00,P1,2362
2014-01-02T04:30:00,P1,2326
2014-01-02T05:00:00,P1,2333
2014-01-02T05:30:00,P1,2315
2014-01-02T06:00:00,P1,2341
2014-01-02T06:30:00,P1,2378
2014-01-02T07:00:00,P1,2423
2014-01-02T07:30:00,P1,2444
2014-01-02T08:00:00,P1,2479
2014-01-02T08:30:00,P1,2452
2014-01-02T09:00:00,P1,2454
2014-01-02T09:30:00,P1,2525
2014-01-02T10:00:00,P1,2569
2014-01-02T10:30:00,P1,2621
2014-01-02T11:00:00,P1,2651
2014-01-02T11:30:00,P1,2707
2014-01-02T12:00:00,P1,2754
2014-01-02T12:30:00,P1,2879
2014-01-02T13:00:00,P1,2924
2014-01-02T13:30:00,P1,2934
2014-01-02T14:00:00,P1,2990
2014-01-02T14:30:00,P1,3006
2014-01-02T15:00:00,P1,2968
2014-01-02T15:30:00,P1,2941
2014-01-02T16:00:00,P1,2902
2014-01-02T16:30:00,P1,2914
2014-01-02T17:00:00,P1,2915
2014-01-02T17:30:00,P1,2974
2014-01-02T18:00:00,P1,3023
2014-01-02T18:30:00,P1,3076
2014-01-02T19:00:00,P1,3109
2014-01-02T19:30:00,P1,3145
2014-01-02T20:00:00,P1,3144
2014-01-02T20:30:00,P1,3156
2014-01-02T21:00:00,P1,3146
2014-01-02T21:30:00,P1,3182
2014-01-02T22:00:00,P1,3078
2014-01-02T22:30:00,P1,3047
2014-01-02T23:00:00,P1,3016
2014-01-02T23:30:00,P1,2986
2014-01-03T00:00:00,P1,2963
2014-01-03T00:30:00,P1,2852
2014-01-03T01:00:00,P1,2806
2014-01-03T01:30:00,P1,2749
2014-01-03T02:00:00,P1,2708
2014-01-03T02:30:00,P1,2646
2014-01-03T03:00:00,P1,2578
2014-01-03T03:30:00,P1,2525
2014-01-03T04:00:00,P1,2494
2014-01-03T04:30:00,P1,2510
2014-01-03T05:00:00,P1,2536
2014-01-03T05:30:00,P1,2522
2014-01-03T06:00:00,P1,2549
2014-01-03T06:30:00,P1,2528
2014-01-03T07:00:00,P1,2536
2014-01-03T07:30:00,P1,2591
2014-01-03T08:00:00,P1,2622
2014-01-03T08:30:00,P1,2632
2014-01-03T09:00:00,P1,2666
2014-01-03T09:30:00,P1,2672
2014-01-03T10:00:00,P1,2716
2014-01-03T10:30:00,P1,2730
2014-01-03T11:00:00,P1,2803
2014-01-03T11:30:00,P1,2839
2014-01-03T12:00:00,P1,2887
2014-01-03T12:30:00,P1,2957
2014-01-03T13:00:00,P1,2966
2014-01-03T13:30:00,P1,3012
2014-01-03T14:00:00,P1,2974
2014-01-03T14:30:00,P1,2953
2014-01-03T15:00:00,P1,2915
2014-01-03T15:30:00,P1,2902
2014-01-03T16:00:00,P1,2827
2014-01-03T16:30:00,P1,2846
2014-01-03T17:00:00,P1,2870
2014-01-03T17:30:00,P1,2930
2014-01-03T18:00:00,P1,3012
2014-01-03T18:30:00,P1,3110
2014-01-03T19:00:00,P1,3148
2014-01-03T19:30:00,P1,3130
2014-01-03T20:00:00,P1,3173
2014-01-03T20:30:00,P1,3108
2014-01-03T21:00:00,P1,3140
2014-01-03T21:30:00,P1,3155
2014-01-03T22:00:00,P1,3085
2014-01-03T22:30:00,P1,3109
2014-01-03T23:00:00,P1,3023
2014-01-03T23:30:00,P1,2993
2014-01-04T00:00:00,P1,2917
2014-01-04T00:30:00,P1,2887
2014-01-04T01:00:00,P1,2819
2014-01-04T01:30:00,P1,2750
2014-01-04T02:00:00,P1,2630
2014-01-04T02:30:00,P1,2556
2014-01-04T03:00:00,P1,2500
2014-01-04T03:30:00,P1,2479
2014-01-04T04:00:00,P1,2428
2014-01-04T04:30:00,P1,2450
2014-01-04T05:00:00,P1,2443
2014-01-04T05:30:00,P1,2473
2014-01-04T06:00:00,P1,2490
2014-01-04T06:30:00,P1,2455
2014-01-04T07:00:00,P1,2482
2014-01-04T07:30:00,P1,2566
2014-01-04T08:00:00,P1,2584
2014-01-04T08:30:00,P1,2555
2014-01-04T09:00:00,P1,2563
2014-01-04T09:30:00,P1,2586
2014-01-04T10:00:00,P1,2634
2014-01-04T10:30:00,P1,2651
2014-01-04T11:00:00,P1,2696
2014-01-04T11:30:00,P1,2716
2014-01-04T12:00:00,P1,2766
2014-01-04T12:30:00,P1,2796
2014-01-04T13:00:00,P1,2812
2014-01-04T13:30:00,P1,2842
2014-01-04T14:00:00,P1,2840
2014-01-04T14:30:00,P1,2800
2014-01-04T15:00:00,P1,2821
2014-01-04T15:30:00,P1,2755
2014-01-04T16:00:00,P1,2796
2014-01-04T16:30:00,P1,2756
2014-01-04T17:00:00,P1,2734
2014-01-04T17:30:00,P1,2778
2014-01-04T18:00:00,P1,2880
2014-01-04T18:30:00,P1,2992
2014-01-04T19:00:00,P1,3006
2014-01-04T19:30:00,P1,2992
2014-01-04T20:00:00,P1,3011
2014-01-04T20:30:00,P1,3070
2014-01-04T21:00:00,P1,3062
2014-01-04T21:30:00,P1,3085
2014-01-04T22:00:00,P1,3029
2014-01-04T22:30:00,P1,3035
2014-01-04T23:00:00,P1,2946
2014-01-04T23:30:00,P1,2932
2014-01-05T00:00:00,P1,2845
2014-01-05T00:30:00,P1,2754
2014-01-05T01:00:00,P1,2734
2014-01-05T01:30:00,P1,2620
2014-01-05T02:00:00,P1,2603
2014-01-05T02:30:00,P1,2515
2014-01-05T03:00:00,P1,2442
2014-01-05T03:30:00,P1,2412
2014-01-05T04:00:00,P1,2362
2014-01-05T04:30:00,P1,2342
2014-01-05T05:00:00,P1,2369
2014-01-05T05:30:00,P1,2393
2014-01-05T06:00:00,P1,2399
2014-01-05T06:30:00,P1,2416
2014-01-05T07:00:00,P1,2460
2014-01-05T07:30:00,P1,2482
2014-01-05T08:00:00,P1,2483
2014-01-05T08:30:00,P1,2504
2014-01-05T09:00:00,P1,2527
2014-01-05T09:30:00,P1,2520
2014-01-05T10:00:00,P1,2519
2014-01-05T10:30:00,P1,2548
2014-01-05T11:00:00,P1,2629
2014-01-05T11:30:00,P1,2657
2014-01-05T12:00:00,P1,2644
2014-01-05T12:30:00,P1,2768
2014-01-05T13:00:00,P1,2778
2014-01-05T13:30:00,P1,2760
2014-01-05T14:00:00,P1,2720
2014-01-05T14:30:00,P1,2760
2014-01-05T15:00:00,P1,2729
2014-01-05T15:30:00,P1,2720
2014-01-05T16:00:00,P1,2665
2014-01-05T16:30:00,P1,2629
2014-01-05T17:00:00,P1,2656
2014-01-05T17:30:00,P1,2693
2014-01-05T18:00:00,P1,2742
2014-01-05T18:30:00,P1,2864
2014-01-05T19:00:00,P1,2887
2014-01-05T19:30:00,P1,2965
2014-01-05T20:00:00,P1,2959
2014-01-05T20:30:00,P1,2957
2014-01-05T21:00:00,P1,2935
2014-01-05T21:30:00,P1,2945
2014-01-05T22:00:00,P1,2928
2014-01-05T22:30:00,P1,2894
2014-01-05T23:00:00,P1,2796
2014-01-05T23:30:00,P1,2764
2014-01-06T00:00:00,P1,2743
2014-01-06T00:30:00,P1,2627
2014-01-06T01:00:00,P1,2554
2014-01-06T01:30:00,P1,2472
2014-01-06T02:00:00,P1,2399
2014-01-06T02:30:00,P1,2341
2014-01-06T03:00:00,P1,2362
2014-01-06T03:30:00,P1,2333
2014-01-06T04:00:00,P1,2275
2014-01-06T04:30:00,P1,2282
2014-01-06T05:00:00,P1,2280
2014-01-06T05:30:00,P1,2273
2014-01-06T06:00:00,P1,2317
2014-01-06T06:30:00,P1,2303
2014-01-06T07:00:00,P1,2294
2014-01-06T07:30:00,P1,2371
2014-01-06T08:00:00,P1,2419
2014-01-06T08:30:00,P1,2436
2014-01-06T09:00:00,P1,2418
2014-01-06T09:30:00,P1,2446
2014-01-06T10:00:00,P1,2452
2014-01-06T10:30:00,P1,2498
2014-01-06T11:00:00,P1,2561
2014-01-06T11:30:00,P1,2614
2014-01-06T12:00:00,P1,2687
2014-01-06T12:30:00,P1,2717
2014-01-06T13:00:00,P1,2741
2014-01-06T13:30:00,P1,2779
2014-01-06T14:00:00,P1,2772
2014-01-06T14:30:00,P1,2772
2014-01-06T15:00:00,P1,2752
2014-01-06T15:30:00,P1,2743
2014-01-06T16:00:00,P1,2705
2014-01-06T16:30:00,P1,2723
2014-01-06T17:00:00,P1,2665
2014-01-06T17:30:00,P1,2644
2014-01-06T18:00:00,P1,2746
2014-01-06T18:30:00,P1,2891
2014-01-06T19:00:00,P1,2936
2014-01-06T19:30:00,P1,2945
2014-01-06T20:00:00,P1,2915
2014-01-06T20:30:00,P1,2902
2014-01-06T21:00:00,P1,2935
2014-01-06T21:30:00,P1,2946
2014-01-06T22:00:00,P1,2862
2014-01-06T22:30:00,P1,2826
2014-01-06T23:00:00,P1,2826
2014-01-06T23:30:00,P1,2777
2014-01-07T00:00:00,P1,2734
2014-01-07T00:30:00,P1,2654
2014-01-07T01:00:00,P1,2615
2014-01-07T01:30:00,P1,2512
2014-01-07T02:00:00,P1,2477
2014-01-07T02:30:00,P1,2437
2014-01-07T03:00:00,P1,2380
2014-01-07T03:30:00,P1,2365
2014-01-07T04:00:00,P1,2322
2014-01-07T04:30:00,P1,2309
2014-01-07T05:00:00,P1,2297
2014-01-07T05:30:00,P1,2291
2014-01-07T06:00:00,P1,2282
2014-01-07T06:30:00,P1,2316
2014-01-07T07:00:00,P1,2330
2014-01-07T07:30:00,P1,2390
2014-01-07T08:00:00,P1,2419
2014-01-07T08:30:00,P1,2405
2014-01-07T09:00:00,P1,2425
2014-01-07T09:30:00,P1,2396
2014-01-07T10:00:00,P1,2376
2014-01-07T10:30:00,P1,2428
2014-01-07T11:00:00,P1,2477
2014-01-07T11:30:00,P1,2524
2014-01-07T12:00:00,P1,2536
2014-01-07T12:30:00,P1,2630
2014-01-07T13:00:00,P1,2627
2014-01-07T13:30:00,P1,2612
2014-01-07T14:00:00,P1,2627
2014-01-07T14:30:00,P1,2663
2014-01-07T15:00:00,P1,2657
2014-01-07T15:30:00,P1,2520
2014-01-07T16:00:00,P1,2502
2014-01-07T16:30:00,P1,2500
2014-01-07T17:00:00,P1,2513
2014-01-07T17:30:00,P1,2570
2014-01-07T18:00:00,P1,2590
2014-01-07T18:30:00,P1,2633
2014-01-07T19:00:00,P1,2665
2014-01-07T19:30:00,P1,2680
2014-01-07T20:00:00,P1,2707
2014-01-07T20:30:00,P1,2668
2014-01-07T21:00:00,P1,2664
2014-01-07T21:30:00,P1,2686
2014-01-07T22:00:00,P1,2672
2014-01-07T22:30:00,P1,2672
2014-01-07T23:00:00,P1,2624
2014-01-07T23:30:00,P1,2600
2014-01-08T00:00:00,P1,2549
2014-01-08T00:30:00,P1,2506
2014-01-08T01:00:00,P1,2472
2014-01-08T01:30:00,P1,2405
2014-01-08T02:00:00,P1,2368
2014-01-08T02:30:00,P1,2346
2014-01-08T03:00:00,P1,2286
2014-01-08T03:30:00,P1,2206
2014-01-08T04:00:00,P1,2179
2014-01-08T04:30:00,P1,2204
2014-01-08T05:00:00,P1,2166
2014-01-08T05:30:00,P1,2178
2014-01-08T06:00:00,P1,2212
2014-01-08T06:30:00,P1,2219
2014-01-08T07:00:00,P1,2240
2014-01-08T07:30:00,P1,2275
2014-01-08T08:00:00,P1,2329
2014-01-08T08:30:00,P1,2323
2014-01-08T09:00:00,P1,2368
2014-01-08T09:30:00,P1,2351
2014-01-08T10:00:00,P1,2359
2014-01-08T10:30:00,P1,2478
2014-01-08T11:00:00,P1,2440
2014-01-08T11:30:00,P1,2443
2014-01-08T12:00:00,P1,2436
2014-01-08T12:30:00,P1,2503
2014-01-08T13:00:00,P1,2527
2014-01-08T13:30:00,P1,2498
2014-01-08T14:00:00,P1,2477
2014-01-08T14:30:00,P1,2466
2014-01-08T15:00:00,P1,2471
2014-01-08T15:30:00,P1,2486
2014-01-08T16:00:00,P1,2480
2014-01-08T16:30:00,P1,2380
2014-01-08T17:00:00,P1,2370
2014-01-08T17:30:00,P1,2468
2014-01-08T18:00:00,P1,2495
2014-01-08T18:30:00,P1,2510
2014-01-08T19:00:00,P1,2576
2014-01-08T19:30:00,P1,2606
2014-01-08T20:00:00,P1,2608
2014-01-08T20:30:00,P1,2617
2014-01-08T21:00:00,P1,2580
2014-01-08T21:30:00,P1,2568
2014-01-08T22:00:00,P1,2542
2014-01-08T22:30:00,P1,2573
2014-01-08T23:00:00,P1,2521
2014-01-08T23:30:00,P1,2510
2014-01-09T00:00:00,P1,2441
2014-01-09T00:30:00,P1,2358
2014-01-09T01:00:00,P1,2334
2014-01-09T01:30:00,P1,2248
2014-01-09T02:00:00,P1,2236
2014-01-09T02:30:00,P1,2195
2014-01-09T03:00:00,P1,2148
2014-01-09T03:30:00,P1,2129
2014-01-09T04:00:00,P1,2141
2014-01-09T04:30:00,P1,2114
2014-01-09T05:00:00,P1,2105
2014-01-09T05:30:00,P1,2136
2014-01-09T06:00:00,P1,2162
2014-01-09T06:30:00,P1,2160
2014-01-09T07:00:00,P1,2234
2014-01-09T07:30:00,P1,2251
2014-01-09T08:00:00,P1,2242
2014-01-09T08:30:00,P1,2273
2014-01-09T09:00:00,P1,2243
2014-01-09T09:30:00,P1,2308
2014-01-09T10:00:00,P1,2332
2014-01-09T10:30:00,P1,2341
2014-01-09T11:00:00,P1,2308
2014-01-09T11:30:00,P1,2334
2014-01-09T12:00:00,P1,2306
2014-01-09T12:30:00,P1,2382
2014-01-09T13:00:00,P1,2372
2014-01-09T13:30:00,P1,2405
2014-01-09T14:00:00,P1,2390
2014-01-09T14:30:00,P1,2408
2014-01-09T15:00:00,P1,2345
2014-01-09T15:30:00,P1,2329
2014-01-09T16:00:00,P1,2312
2014-01-09T16:30:00,P1,2230
2014-01-09T17:00:00,P1,2260
2014-01-09T17:30:00,P1,2338
2014-01-09T18:00:00,P1,2454
2014-01-09T18:30:00,P1,2502
2014-01-09T19:00:00,P1,2558
2014-01-09T19:30:00,P1,2574
2014-01-09T20:00:00,P1,2591
2014-01-09T20:30:00,P1,2597
2014-01-09T21:00:00,P1,2554
2014-01-09T21:30:00,P1,2582
2014-01-09T22:00:00,P1,2563
2014-01-09T22:30:00,P1,2551
2014-01-09T23:00:00,P1,2480
2014-01-09T23:30:00,P1,2444
2014-01-10T00:00:00,P1,2416
2014-01-10T00:30:00,P1,2340
2014-01-10T01:00:00,P1,2288
2014-01-10T01:30:00,P1,2197
2014-01-10T02:00:00,P1,2165
2014-01-10T02:30:00,P1,2148
2014-01-10T03:00:00,P1,2117
2014-01-10T03:30:00,P1,2092
2014-01-10T04:00:00,P1,2072
2014-01-10T04:30:00,P1,2086
2014-01-10T05:00:00,P1,2074
2014-01-10T05:30:00,P1,2087
2014-01-10T06:00:00,P1,2120
2014-01-10T06:30:00,P1,2111
2014-01-10T07:00:00,P1,2177
2014-01-10T07:30:00,P1,2221
2014-01-10T08:00:00,P1,2298
2014-01-10T08:30:00,P1,2350
2014-01-10T09:00:00,P1,2310
2014-01-10T09:30:00,P1,2368
2014-01-10T10:00:00,P1,2382
2014-01-10T10:30:00,P1,2357
2014-01-10T11:00:00,P1,2368
2014-01-10T11:30:00,P1,2405
2014-01-10T12:00:00,P1,2371
2014-01-10T12:30:00,P1,2446
2014-01-10T13:00:00,P1,2483
2014-01-10T13:30:00,P1,2471
2014-01-10T14:00:00,P1,2486
2014-01-10T14:30:00,P1,2501
2014-01-10T15:00:00,P1,2452
2014-01-10T15:30:00,P1,2400
2014-01-10T16:00:00,P1,2383
2014-01-10T16:30:00,P1,2408
2014-01-10T17:00:00,P1,2398
2014-01-10T17:30:00,P1,2483
2014-01-10T18:00:00,P1,2545
2014-01-10T18:30:00,P1,2614
2014-01-10T19:00:00,P1,2647
2014-01-10T19:30:00,P1,2686
2014-01-10T20:00:00,P1,2712
2014-01-10T20:30:00,P1,2710
2014-01-10T21:00:00,P1,2759
2014-01-10T21:30:00,P1,2761
2014-01-10T22:00:00,P1,2692
2014-01-10T22:30:00,P1,2676
2014-01-10T23:00:00,P1,2663
2014-01-10T23:30:00,P1,2616
2014-01-11T00:00:00,P1,2568
2014-01-11T00:30:00,P1,2546
2014-01-11T01:00:00,P1,2506
2014-01-11T01:30:00,P1,2441
2014-01-11T02:00:00,P1,2383
2014-01-11T02:30:00,P1,2334
2014-01-11T03:00:00,P1,2299
2014-01-11T03:30:00,P1,2312
2014-01-11T04:00:00,P1,2298
2014-01-11T04:30:00,P1,2308
2014-01-11T05:00:00,P1,2298
2014-01-11T05:30:00,P1,2333
2014-01-11T06:00:00,P1,2351
2014-01-11T06:30:00,P1,2370
2014-01-11T07:00:00,P1,2414
2014-01-11T07:30:00,P1,2442
2014-01-11T08:00:00,P1,2482
2014-01-11T08:30:00,P1,2477
2014-01-11T09:00:00,P1,2504
2014-01-11T09:30:00,P1,2509
2014-01-11T10:00:00,P1,2546
2014-01-11T10:30:00,P1,2635
2014-01-11T11:00:00,P1,2677
2014-01-11T11:30:00,P1,2728
2014-01-11T12:00:00,P1,2743
2014-01-11T12:30:00,P1,2791
2014-01-11T13:00:00,P1,2824
2014-01-11T13:30:00,P1,2809
2014-01-11T14:00:00,P1,2840
2014-01-11T14:30:00,P1,2824
2014-01-11T15:00:00,P1,2821
2014-01-11T15:30:00,P1,2750
2014-01-11T16:00:00,P1,2731
2014-01-11T16:30:00,P1,2741
2014-01-11T17:00:00,P1,2760
2014-01-11T17:30:00,P1,2790
2014-01-11T18:00:00,P1,2842
2014-01-11T18:30:00,P1,2928
2014-01-11T19:00:00,P1,3030
2014-01-11T19:30:00,P1,3066
2014-01-11T20:00:00,P1,3032
2014-01-11T20:30:00,P1,3004
2014-01-11T21:00:00,P1,3029
2014-01-11T21:30:00,P1,2998
2014-01-11T22:00:00,P1,3031
2014-01-11T22:30:00,P1,3050
2014-01-11T23:00:00,P1,2987
2014-01-11T23:30:00,P1,2956
2014-01-12T00:00:00,P1,2870
2014-01-12T00:30:00,P1,2812
2014-01-12T01:00:00,P1,2767
2014-01-12T01:30:00,P1,2694
2014-01-12T02:00:00,P1,2675
2014-01-12T02:30:00,P1,2629
2014-01-12T03:00:00,P1,2606
2014-01-12T03:30:00,P1,2592
2014-01-12T04:00:00,P1,2556
2014-01-12T04:30:00,P1,2495
2014-01-12T05:00:00,P1,2496
2014-01-12T05:30:00,P1,2516
2014-01-12T06:00:00,P1,2543
2014-01-12T06:30:00,P1,2538
2014-01-12T07:00:00,P1,2588
2014-01-12T07:30:00,P1,2618
2014-01-12T08:00:00,P1,2618
2014-01-12T08:30:00,P1,2678
2014-01-12T09:00:00,P1,2695
2014-01-12T09:30:00,P1,2725
2014-01-12T10:00:00,P1,2704
2014-01-12T10:30:00,P1,2785
2014-01-12T11:00:00,P1,2803
2014-01-12T11:30:00,P1,2845
2014-01-12T12:00:00,P1,2836
2014-01-12T12:30:00,P1,2849
2014-01-12T13:00:00,P1,2915
2014-01-12T13:30:00,P1,2902
2014-01-12T14:00:00,P1,2886
2014-01-12T14:30:00,P1,2897
2014-01-12T15:00:00,P1,2856
2014-01-12T15:30:00,P1,2809
2014-01-12T16:00:00,P1,2851
2014-01-12T16:30:00,P1,2816
2014-01-12T17:00:00,P1,2812
2014-01-12T17:30:00,P1,2792
2014-01-12T18:00:00,P1,2878
2014-01-12T18:30:00,P1,2933
2014-01-12T19:00:00,P1,2958
2014-01-12T19:30:00,P1,2974
2014-01-12T20:00:00,P1,2996
2014-01-12T20:30:00,P1,3011
2014-01-12T21:00:00,P1,3018
2014-01-12T21:30:00,P1,3019
2014-01-12T22:00:00,P1,2963
2014-01-12T22:30:00,P1,2936
2014-01-12T23:00:00,P1,2914
2014-01-12T23:30:00,P1,2888
2014-01-13T00:00:00,P1,2866
2014-01-13T00:30:00,P1,2773
2014-01-13T01:00:00,P1,2746
2014-01-13T01:30:00,P1,2687
2014-01-13T02:00:00,P1,2660
2014-01-13T02:30:00,P1,2644
2014-01-13T03:00:00,P1,2593
2014-01-13T03:30:00,P1,2597
2014-01-13T04:00:00,P1,2546
2014-01-13T04:30:00,P1,2537
2014-01-13T05:00:00,P1,2542
2014-01-13T05:30:00,P1,2582
