hour,gen_diesel_1_mw,gen_diesel_2_mw,gen_diesel_3_mw,gen_diesel_4_mw,pv_mw,wind_mw,total_load_mw
0,0.58,0.52,0.00,0.00,0.00,0.22,1.32
1,0.55,0.49,0.00,0.00,0.00,0.24,1.28
