hour,gen_diesel_1_mw,gen_diesel_2_mw,gen_diesel_3_mw,gen_diesel_4_mw,pv_mw,wind_mw,bess_mw,total_load_mw
0,0.56,0.48,0.00,0.00,0.00,0.22,0.06,1.32
1,0.52,0.45,0.00,0.00,0.00,0.24,0.07,1.28
